country,year,gdp,literacy_rate,schooling,population_historical,gdp_per_school_year
afghanistan,2015,2967.6921,33.75384,4.81,33831767.0,1.4728000496277918
armenia,2020,15052.936,100.0,10.54,2890893.0,7.451948514851485
bangladesh,2015,5352.7114,65.0,6.76,159383179.0,2.6564324565756823
bangladesh,2020,7015.1978,75.0,7.23,166298024.0,3.472870198019802
belize,2015,12348.795,90.91604,10.56,356341.0,6.128434243176179
bolivia,2015,11144.642,92.0,8.62,11014707.0,5.5308397022332505
bolivia,2020,10285.659,94.0,9.06,11816301.0,5.091910396039604
brazil,2000,14005.348,86.0,6.76,174018278.0,7.002674
brazil,2010,18062.158,90.0,8.17,193701931.0,8.986148258706468
brazil,2015,18357.068,92.0,7.66,201675534.0,9.110207444168735
cambodia,2015,4968.5728,81.0,5.32,15623253.0,2.465792952853598
cameroon,2000,3822.9443,68.0,5.76,14912632.0,1.91147215
cameroon,2010,4286.583,71.0,6.41,19668063.0,2.132628358208955
chile,2015,27811.375,97.0,10.49,18047630.0,13.802171215880893
china,1990,1666.9277,78.0,6.45,1153582725.0,0.8376521105527638
china,2000,4066.0364,91.0,7.79,1269581174.0,2.0330182
china,2010,10476.3125,95.0,8.25,1351561505.0,5.212095771144279
china,2020,19215.154,97.0,8.99,1426106093.0,9.512452475247525
colombia,2005,11999.255,93.0,7.56,42128978.0,5.984665835411471
colombia,2010,14037.064,93.0,9.35,44777325.0,6.983613930348259
colombia,2015,16821.38,94.0,9.78,46969938.0,8.348079404466501
colombia,2020,15861.5,96.0,10.2,50629997.0,7.852227722772278
costa rica,2000,14018.742,95.0,7.96,3937737.0,7.009371
cote d'ivoire,2000,4838.3403,49.0,4.06,17699007.0,2.41917015
dominican republic,2010,14975.001,90.0,8.12,9820180.0,7.450249253731343
dominican republic,2015,17973.188,92.0,8.48,10434826.0,8.919696277915632
ecuador,1990,9104.816,88.0,7.23,10473674.0,4.5752844221105535
ecuador,2010,11665.698,92.0,8.02,15076697.0,5.8038298507462684
ecuador,2015,13881.57,94.0,8.54,16266229.0,6.889116625310174
ecuador,2020,12440.326,94.0,9.07,17546058.0,6.1585772277227715
egypt,2005,10700.609,67.0,6.93,81101012.0,5.336962094763092
egypt,2010,13128.988,72.0,7.44,89196073.0,6.5318348258706465
el salvador,2010,8648.93,84.0,8.06,6068253.0,4.302950248756219
el salvador,2015,9646.154,88.0,7.67,6183675.0,4.787173200992556
el salvador,2020,9692.449,90.0,8.1,6234679.0,4.798242079207921
eswatini,2000,6106.0747,82.0,4.62,1041428.0,3.05303735
gambia,2000,2658.6177,37.0,2.77,1455095.0,1.3293088499999999
gambia,2015,2495.9575,51.0,4.42,2224530.0,1.2386885856079404
ghana,2000,3327.352,58.0,6.67,19637085.0,1.663676
ghana,2010,4495.689,71.0,7.66,25475000.0,2.236661194029851
