country,year,illiteracy_male,illiteracy_female,female_to_male_ratio,illiterate_total
afghanistan,2011,62.0,32.0,0.5161290322580645,94.0
afghanistan,2015,57.73505,25.48416,0.4413984226219601,83.21921
afghanistan,2021,71.0,42.0,0.5915492957746479,113.0
afghanistan,2022,83.4,44.17171,0.5296368105515586,127.57171
albania,2001,99.0,99.0,1.0,198.0
albania,2008,99.0,99.0,1.0,198.0
albania,2009,94.82,96.61,1.018877873866273,191.43
albania,2011,99.0,99.0,1.0,198.0
albania,2012,99.0,99.0,1.0,198.0
albania,2017,98.58999,99.52556,1.00948950294041,198.11554999999998
algeria,2002,94.0,86.0,0.9148936170212766,180.0
algeria,2006,94.0,89.0,0.9468085106382979,183.0
algeria,2008,96.0,92.0,0.9583333333333334,188.0
algeria,2019,64.79,97.9897,1.512420126562741,162.7797
angola,2001,84.0,63.0,0.75,147.0
angola,2014,85.0,71.0,0.8352941176470589,156.0
angola,2015,83.96919,67.4276,0.8030040542251271,151.39679
argentina,1991,98.0,99.0,1.010204081632653,197.0
argentina,2001,99.0,99.0,1.0,198.0
armenia,2000,100.0,100.0,1.0,200.0
armenia,2001,100.0,100.0,1.0,200.0
armenia,2011,100.0,100.0,1.0,200.0
armenia,2016,100.0,100.0,1.0,200.0
armenia,2017,100.0,100.0,1.0,200.0
armenia,2020,100.0,100.0,1.0,200.0
armenia,2022,99.64871,99.91656,1.0026879424731139,199.56527
aruba,2000,99.0,99.0,1.0,198.0
aruba,2010,99.0,99.0,1.0,198.0
azerbaijan,1999,100.0,100.0,1.0,200.0
azerbaijan,2006,100.0,100.0,1.0,200.0
azerbaijan,2007,100.0,100.0,1.0,200.0
azerbaijan,2009,100.0,100.0,1.0,200.0
azerbaijan,2010,100.0,100.0,1.0,200.0
azerbaijan,2011,100.0,100.0,1.0,200.0
azerbaijan,2012,100.0,100.0,1.0,200.0
azerbaijan,2013,100.0,100.0,1.0,200.0
azerbaijan,2014,100.0,100.0,1.0,200.0
azerbaijan,2015,100.0,100.0,1.0,200.0
azerbaijan,2016,100.0,100.0,1.0,200.0
azerbaijan,2017,100.0,100.0,1.0,200.0
azerbaijan,2019,100.0,100.0,1.0,200.0
azerbaijan,2023,100.0,100.0,1.0,200.0
bahrain,1991,97.0,97.0,1.0,194.0
bahrain,2001,97.0,97.0,1.0,194.0
bahrain,2022,99.0,99.0,1.0,198.0
bahrain,2023,99.0,99.0,1.0,198.0
bangladesh,1991,52.0,38.0,0.7307692307692307,90.0
bangladesh,2000,100.0,100.0,1.0,200.0
bangladesh,2001,67.0,60.0,0.8955223880597015,127.0
bangladesh,2007,90.51,77.09,0.851729090708209,167.60000000000002
bangladesh,2011,76.0,80.0,1.0526315789473684,156.0
bangladesh,2012,76.0,79.0,1.0394736842105263,155.0
bangladesh,2013,84.0,87.0,1.0357142857142858,171.0
bangladesh,2014,85.0,86.0,1.011764705882353,171.0
bangladesh,2015,86.0,90.0,1.0465116279069768,176.0
bangladesh,2016,91.0,94.0,1.032967032967033,185.0
bangladesh,2017,92.0,94.0,1.0217391304347827,186.0
bangladesh,2018,92.0,95.0,1.0326086956521738,187.0
bangladesh,2019,94.0,96.0,1.0212765957446808,190.0
bangladesh,2020,93.0,96.0,1.032258064516129,189.0
bangladesh,2021,94.0,96.0,1.0212765957446808,190.0
bangladesh,2022,92.0,94.0,1.0217391304347827,186.0
barbados,2012,100.0,100.0,1.0,200.0
belarus,1999,100.0,100.0,1.0,200.0
belarus,2009,100.0,100.0,1.0,200.0
belarus,2012,100.0,100.0,1.0,200.0
belarus,2019,100.0,100.0,1.0,200.0
belize,1991,77.0,78.0,1.0129870129870129,155.0
belize,2015,97.82818,98.07905,1.002564394022254,195.90723
benin,1992,55.0,27.0,0.4909090909090909,82.0
benin,2001,61.08,31.85,0.5214472822527833,92.93
benin,2002,59.0,33.0,0.559322033898305,92.0
benin,2006,72.07,39.53,0.5484945192174275,111.6
benin,2017,66.79979,50.98536,0.7632562916739708,117.78515
benin,2019,76.35444,62.76271,0.8219916222291723,139.11714999999998
benin,2021,70.96799,59.18644,0.8339878302879932,130.15443
benin,2022,74.60011,67.93813,0.9106974507142148,142.53824
bhutan,2005,80.0,68.0,0.85,148.0
bhutan,2012,90.0,82.0,0.9111111111111111,172.0
bhutan,2017,93.0,93.0,1.0,186.0
bolivia,1992,96.0,92.0,0.9583333333333334,188.0
bolivia,2000,98.4,96.3,0.9786585365853657,194.7
bolivia,2001,98.2,96.5,0.9826883910386965,194.7
bolivia,2002,99.1,97.1,0.9798183652875883,196.2
bolivia,2003,99.47,96.67,0.971850809289233,196.14
bolivia,2004,99.6,98.6,0.9899598393574297,198.2
bolivia,2005,99.3,98.4,0.9909365558912387,197.7
bolivia,2006,99.4,97.4,0.9798792756539235,196.8
bolivia,2007,99.8,99.1,0.9929859719438877,198.89999999999998
bolivia,2008,99.4,99.0,0.9959758551307847,198.4
bolivia,2009,99.7,99.1,0.9939819458375124,198.8
bolivia,2011,99.3,98.8,0.9949647532729103,198.1
bolivia,2012,99.5,99.2,0.9969849246231156,198.7
bolivia,2013,99.5,99.2,0.9969849246231156,198.7
bolivia,2014,99.7,99.2,0.9949849548645938,198.9
bolivia,2015,99.4,99.4,1.0,198.8
bolivia,2016,99.5,99.3,0.9979899497487437,198.8
bolivia,2017,99.4,99.3,0.9989939637826961,198.7
bolivia,2018,99.7,99.4,0.9969909729187563,199.10000000000002
bolivia,2019,99.7,99.4,0.9969909729187563,199.10000000000002
bolivia,2020,99.6,99.5,0.9989959839357431,199.1
bolivia,2021,99.5,99.5,1.0,199.0
bosnia and herzegovina,1991,99.0,99.0,1.0,198.0
bosnia and herzegovina,2000,100.0,100.0,1.0,200.0
bosnia and herzegovina,2013,100.0,100.0,1.0,200.0
botswana,1991,86.0,92.0,1.069767441860465,178.0
botswana,2003,92.0,96.0,1.0434782608695652,188.0
brazil,2000,93.0,96.0,1.032258064516129,189.0
brazil,2001,94.7,96.9,1.0232312565997888,191.60000000000002
brazil,2002,95.1,97.5,1.025236593059937,192.6
brazil,2003,95.6,97.7,1.0219665271966527,193.3
brazil,2004,95.7,97.9,1.0229885057471264,193.60000000000002
brazil,2005,96.1,98.1,1.0208116545265349,194.2
brazil,2006,96.8,98.3,1.015495867768595,195.1
brazil,2007,97.0,98.6,1.0164948453608247,195.6
brazil,2008,97.2,98.5,1.0133744855967077,195.7
brazil,2009,97.4,98.7,1.013347022587269,196.10000000000002
brazil,2010,97.0,98.0,1.0103092783505154,195.0
brazil,2011,97.9,99.1,1.0122574055158324,197.0
brazil,2012,98.2,99.0,1.0081466395112015,197.2
brazil,2013,98.3,99.2,1.0091556459816888,197.5
brazil,2014,98.4,99.3,1.0091463414634145,197.7
brazil,2015,98.6,99.3,1.0070993914807302,197.89999999999998
brazil,2016,98.7,99.5,1.0081053698074975,198.2
brazil,2017,98.8,99.5,1.007085020242915,198.3
brazil,2018,98.7,99.4,1.0070921985815604,198.10000000000002
brazil,2019,98.7,99.5,1.0081053698074975,198.2
brazil,2020,99.0,99.5,1.005050505050505,198.5
brazil,2021,99.1,99.5,1.0040363269424823,198.6
brazil,2022,99.0,99.6,1.006060606060606,198.6
brazil,2023,99.0,99.6,1.006060606060606,198.6
brunei,1991,98.0,98.0,1.0,196.0
brunei,2001,99.0,99.0,1.0,198.0
brunei,2011,99.0,100.0,1.0101010101010102,199.0
bulgaria,2001,98.0,98.0,1.0,196.0
bulgaria,2011,98.0,98.0,1.0,196.0
burkina faso,1991,27.0,14.0,0.5185185185185185,41.0
burkina faso,1996,25.0,14.0,0.56,39.0
burkina faso,2003,38.0,25.0,0.6578947368421053,63.0
burkina faso,2005,40.0,26.0,0.65,66.0
burkina faso,2006,40.0,27.0,0.675,67.0
burkina faso,2007,47.0,33.0,0.7021276595744681,80.0
burkina faso,2010,47.04,27.24,0.5790816326530612,74.28
burkina faso,2014,57.0,44.0,0.7719298245614035,101.0
burkina faso,2018,64.0,54.0,0.84375,118.0
burkina faso,2019,51.0,44.0,0.8627450980392157,95.0
burkina faso,2021,66.64593,58.758,0.8816442354394334,125.40393
burkina faso,2022,65.47311,60.56925,0.925101159850204,126.04236
burundi,1990,59.0,48.0,0.8135593220338984,107.0
burundi,2000,77.0,70.0,0.9090909090909091,147.0
burundi,2008,67.0,57.0,0.8507462686567164,124.0
burundi,2010,82.66,66.51,0.80462134043068,149.17000000000002
burundi,2014,85.0,75.0,0.8823529411764706,160.0
burundi,2016,86.7551,82.08605,0.9461812619661554,168.84115
burundi,2017,91.0,86.0,0.945054945054945,177.0
cambodia,1998,82.0,71.0,0.8658536585365854,153.0
cambodia,2004,88.0,79.0,0.8977272727272727,167.0
cambodia,2005,100.0,67.33,0.6733,167.32999999999998
cambodia,2008,89.0,86.0,0.9662921348314607,175.0
cambodia,2009,88.0,86.0,0.9772727272727273,174.0
cambodia,2010,80.6,78.02,0.9679900744416874,158.62
cambodia,2014,90.0,90.0,1.0,180.0
cambodia,2015,92.0,93.0,1.0108695652173914,185.0
cambodia,2021,90.30829,93.50569,1.035405387478824,183.81398000000002
cameroon,2000,88.0,78.0,0.8863636363636364,166.0
cameroon,2004,81.39,67.65,0.831183192038334,149.04000000000002
cameroon,2007,89.0,77.0,0.8651685393258427,166.0
cameroon,2010,85.0,76.0,0.8941176470588236,161.0
cameroon,2011,86.92,73.41,0.8445697192820985,160.32999999999998
cameroon,2018,87.59698,76.3945,0.8721133993432193,163.99148
cape verde,1990,90.0,86.0,0.9555555555555556,176.0
cape verde,2012,98.0,98.0,1.0,196.0
cape verde,2015,98.0,99.0,1.010204081632653,197.0
cayman islands,2007,99.0,99.0,1.0,198.0
central african republic,2000,73.0,49.0,0.6712328767123288,122.0
central african republic,2019,64.90382,36.67682,0.5650949358604779,101.58063999999999
chad,1993,26.0,9.0,0.34615384615384615,35.0
chad,2000,56.0,23.0,0.4107142857142857,79.0
chad,2004,54.0,31.0,0.5740740740740741,85.0
chad,2016,41.0,22.0,0.5365853658536586,63.0
chad,2019,56.26247,33.32039,0.5922311978126805,89.58286000000001
